Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000258	1	1	8	15	17	1	5	4	12	0	16	3	21	20	5	129
OG0000259	3	22	11	10	12	1	1	13	5	7	11	4	12	5	11	128
OG0000260	2	3	13	27	8	1	1	17	3	1	16	2	10	6	18	128
OG0000261	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	128
OG0000262	4	2	12	5	30	1	3	12	2	1	7	4	21	17	6	127
OG0000263	4	1	8	9	13	0	1	39	0	4	11	11	9	10	7	127
OG0000264	4	8	14	16	19	1	4	8	3	4	7	4	9	8	17	126
OG0000265	0	36	0	0	0	0	69	1	0	0	1	19	0	0	0	126
OG0000266	0	0	13	1	0	0	0	108	0	0	0	0	0	0	4	126
OG0000267	2	5	7	10	8	1	0	14	11	1	10	13	17	9	17	125
OG0000268	1	0	1	1	1	1	113	2	0	1	1	1	1	1	0	125
OG0000269	1	14	9	3	20	1	1	29	1	1	1	1	8	3	30	123
OG0000270	2	18	6	10	14	0	0	4	11	0	6	19	17	4	12	123
OG0000271	32	14	10	9	4	1	10	7	1	0	10	6	7	3	8	122
OG0000272	0	114	0	0	1	1	0	0	1	1	1	1	1	1	0	122
OG0000273	30	13	8	8	5	3	6	7	7	5	7	10	5	1	7	122
OG0000274	7	5	7	8	11	3	5	19	2	4	13	5	7	9	16	121
OG0000275	0	11	19	21	8	0	0	9	4	0	5	32	3	9	0	121
OG0000276	17	7	7	8	10	0	7	11	3	5	7	9	7	7	16	121
OG0000277	9	0	8	24	13	0	14	9	1	4	10	8	4	6	11	121
OG0000278	0	7	22	8	2	1	0	36	3	0	6	0	15	6	15	121
OG0000279	0	0	0	0	0	0	120	0	0	0	0	0	0	0	1	121
OG0000280	9	7	12	7	24	0	2	15	3	6	17	5	4	3	6	120
OG0000281	1	0	0	0	0	0	119	0	0	0	0	0	0	0	0	120
OG0000282	11	22	5	5	7	1	9	7	7	19	5	7	7	4	4	120
OG0000283	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	120
OG0000284	0	117	0	0	0	1	0	0	0	0	0	0	1	0	0	119
OG0000285	8	17	7	7	3	17	9	7	2	7	7	5	10	7	6	119
OG0000286	7	19	5	9	7	1	3	13	4	5	6	4	11	17	8	119
OG0000287	117	0	0	0	1	0	0	0	0	0	0	0	0	0	0	118
OG0000288	2	4	16	21	16	0	0	29	0	0	0	0	24	4	2	118
OG0000289	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	118
OG0000290	6	98	2	3	1	0	1	0	0	2	1	1	0	0	2	117
OG0000291	8	5	9	16	12	1	8	11	7	17	6	3	8	1	5	117
